אֵאוֹגֶנִיקָה	QeQWgE!niqaH	eoge!nika
הִתְלַהֲטוּת	hItlAháTu!t	hitlahatu!t
הִתְלַהְלֵהַּ	hItlAhle!hÁ	hitlahle!ah
הִתְלַהְלַהּ	hItlAhlA!h	hitlahla!h
הִתְלַהֲלֵהַּ	hItlAhále!hÁ	hitlahale!ah
הִתְלַהֲלַהּ	hItlAhálA!h	hitlahala!h
הִתְלַהֵם	hItlAhe!m	hitlahe!m
הִתְלַהְמוּת	hItlAhmu!t	hitlahmu!t
הִתְלַהֲמוּת	hItlAhámu!t	hitlahamu!t
הִתְלַהֵק	hItlAhe!q	hitlahe!k
הִתְלַהֲקוּת	hItlAháqu!t	hitlahaku!t
הִתְלַוָּה	hItlA_wa!H	hitlava!
הִתְלוֹנֵן	hItlWne!n	hitlone!n
הִתְלוֹנְנוּת	hItlWn3nu!t	hitlonenu!t
הִתְלוֹצֵץ	hItlWZe!Z	hitlotse!ts
הִתְלוֹצְצוּת	hItlWZ3Zu!t	hitlotsetsu!t
הִתָּלוּת	hI_ṭalu!t	hitalu!t
הִתְלַחְלֵחַ	hItlAjle!jÁ	hitlaxle!ax
הִתְלַחְלְחוּת	hItlAjl3ju!t	hitlaxlexu!t
הִתְלַחֵם	hItlAje!m	hitlaxe!m
הִתְלַחֵץ	hItlAje!Z	hitlaxe!ts
הִתְלַחֵשׁ	hItlAje!c	hitlaxe!ʃ
הִתְלַחְשׁוּת	hItlAjcu!t	hitlaxʃu!t
הִתְלַחֲשׁוּת	hItlAjácu!t	hitlaxaʃu!t
הִתְלַחְשֵׁשׁ	hItlAjce!c	hitlaxʃe!ʃ
הִתְלַחְשְׁשׁוּת	hItlAjc3cu!t	hitlaxʃeʃu!t
הִתְלַטֵּף	hItlA_Te!f	hitlate!f
הִתְלַטְּפוּת	hItlA_T3fu!t	hitlatfu!t
הִתְלַטֵּשׁ	hItlA_Te!c	hitlate!ʃ
הַתְלָיָה	hAtlaya!H	hatlaja!
הִתְלִיל	hItli!l	hitli!l
הִתְלִים	hItli!m	hitli!m
הִתְלִיעַ	hItli!RÁ	hitli!a
הִתְלַכֵּד	hItlA_ke!d	hitlake!d
הִתְלַכְּדוּת	hItlA_k3du!t	hitlakdu!t
הִתְלַכְלֵךְ	hItlAxle!x	hitlaxle!x
הִתְלַכְלְכוּת	hItlAxl3xu!t	hitlaxlexu!t
הִתְלַכְסֵן	hItlAxse!n	hitlaxse!n
הִתְלַכְסְנוּת	hItlAxs3nu!t	hitlaxsenu!t
הַתְלָלָה	hAtlala!H	hatlala!
הִתְלַמֵּד	hItlA_me!d	hitlame!d
הִתְלַמְּדוּת	hItlA_m3du!t	hitlamdu!t
הִתְלַנְקְקוּת	hItlAnq3qu!t	hitlankeku!t
הִתְלַעֵג	hItlARe!g	hitlae!g
הַתְלָעָה	hAtlaRa!H	hatlaa!
הִתְלַעֵז	hItlARe!z	hitlae!z
הִתְלַעְלֵעַ	hItlARle!RÁ	hitlale!a
הִתְלַעְלַע	hItlARlA!R	hitlala!
הִתְלַעֲלֵעַ	hItlARále!RÁ	hitlaale!a
הִתְלַעֲלַע	hItlARálA!R	hitlaala!
הִתְלַעְלְעוּת	hItlARl3Ru!t	hitlaleu!t
הִתְלַפֵּף	hItlA_pe!f	hitlape!f
הִתְלַפְּפוּת	hItlA_p3fu!t	hitlapefu!t
הִתְלַקֵּחַ	hItlA_qe!jÁ	hitlake!ax
הִתְלַקְּחוּת	hItlA_q3ju!t	hitlakxu!t
הִתְלַקֵּט	hItlA_qe!T	hitlake!t
הִתְלַקְּטוּת	hItlA_q3Tu!t	hitlaktu!t
הִתְלַקְלֵק	hItlAqle!q	hitlakle!k
הִתְלַקְלְקוּת	hItlAql3qu!t	hitlakleku!t
הִתְלַקֵּק	hItlA_qe!q	hitlake!k
הִתְלַקְּקוּת	hItlA_q3qu!t	hitlakeku!t
הִתָּלְשׁוּת	hI_ṭal3cu!t	hitalʃu!t
הִתְלַשְׁלֵשׁ	hItlAcle!c	hitlaʃle!ʃ
הֵתֵם	hete!m	hete!m
הִתְמָאֵס	hItmaQe!s	hitmae!s
הִתְמַאֲסוּת	hItmAQásu!t	hitmaasu!t
הִתְמַגֵּל	hItmA_ǵe!l	hitmage!l
הִתְמַגְמֵג	hItmAgme!g	hitmagme!g
הִתְמַגֵּן	hItmA_ǵe!n	hitmage!n
הִתְמַגְּנוּת	hItmA_ǵ3nu!t	hitmagnu!t
הִתְמַגְנֵט	hItmAgne!T	hitmagne!t
הִתְמַגְנְטוּת	hItmAgn3Tu!t	hitmagnetu!t
הִתְמַגְּרוּת	hItmA_ǵ3ru!t	hitmagru!t
הֶתְמֵד	hEtme!d	hetme!d
הַתְמָדָה	hAtmada!H	hatmada!
הִתְמַדְּרוּת	hItmA_ḍ3ru!t	hitmadru!t
הִתְמַדְרֵן	hItmAdre!n	hitmadre!n
הִתַּמֵּהַּ	hI_ṭA_me!hÁ	hitame!ah
הַתְמָהָה	hAtmaha!H	hatmaha!
הִתָּמְהוּת	hI_ṭam3hu!t	hitamhu!t
הִתְמַהְמֵהַּ	hItmAhme!hÁ	hitmahme!ah
הִתְמַהְמַהּ	hItmAhmA!h	hitmahma!h
הִתְמַהֲמֵהַּ	hItmAháme!hÁ	hitmahame!ah
הִתְמַהֲמַהּ	hItmAhámA!h	hitmahama!h
הִתְמַהַמְהוּת	hItmAhAmhu!t	hitmahamhu!t
הִתְמַהֵר	hItmAhe!r	hitmahe!r
הִתְמַהֲרוּת	hItmAháru!t	hitmaharu!t
הִתְמוֹגֵג	hItmWge!g	hitmoge!g
הִתְמוֹגְגוּת	hItmWg3gu!t	hitmogegu!t
הִתְמוֹדֵד	hItmWde!d	hitmode!d
הִתְמוֹדְדוּת	hItmWd3du!t	hitmodedu!t
הִתְמוֹטֵט	hItmWTe!T	hitmote!t
הִתְמוֹטְטוּת	hItmWT3Tu!t	hitmotetu!t
הִתְמוֹכֵךְ	hItmWxe!x	hitmoxe!x
הִתְמוֹלֵל	hItmWle!l	hitmole!l
הִתְמוֹלְלוּת	hItmWl3lu!t	hitmolelu!t
הִתְמוֹסֵס	hItmWse!s	hitmose!s
הִתְמוֹסְסוּת	hItmWs3su!t	hitmosesu!t
הִתְמַזֵּג	hItmA_ze!g	hitmaze!g
הִתְמַזְּגוּת	hItmA_z3gu!t	hitmazgu!t
הִתְמַזֵּל	hItmA_ze!l	hitmaze!l
הִתְמַזְלֵג	hItmAzle!g	hitmazle!g
הִתְמַזְּלוּת	hItmA_z3lu!t	hitmazlu!t
הִתְמַזְמֵז	hItmAzme!z	hitmazme!z
הִתְמַזְמְזוּת	hItmAzm3zu!t	hitmazmezu!t
הִתְמַזְמֵט	hItmAzme!T	hitmazme!t
הִתְמַזְעֵר	hItmAzRe!r	hitmazʔe!r
הִתְמַזְעְרוּת	hItmAzR3ru!t	hitmazʔeru!t
הִתְמַזְרֵחַ	hItmAzre!jÁ	hitmazre!ax
הִתְמַזְרְחוּת	hItmAzr3ju!t	hitmazrexu!t
הִתְמַחָה	hItmAja!H	hitmaxa!
הִתְמַחוּת	hItmAju!t	hitmaxu!t
הִתְמַחְזֵר	hItmAjze!r	hitmaxze!r
הִתְמַחְזְרוּת	hItmAjz3ru!t	hitmaxzeru!t
הִתְמַחְיוּת	hItmAjyu!t	hitmaxju!t
הִתְמַחֵק	hItmAje!q	hitmaxe!k
הִתְמַחְשְׁבוּת	hItmAjc3vu!t	hitmaxʃevu!t
הִתְמַטָּה	hItmA_Ta!H	hitmata!
הִתְמַטְמֵט	hItmATme!T	hitmatme!t
הִתְמִיד	hItmi!d	hitmi!d
הִתְמִיהַּ	hItmi!hÁ	hitmi!ah
הַתְמָיָה	hAtmaya!H	hatmaja!
הִתְמִים	hItmi!m	hitmi!m
הִתְמַיֵּם	hItmA_ye!m	hitmaje!m
הִתְמַיֵּן	hItmA_ye!n	hitmaje!n
הִתְמַיְּנוּת	hItmA_y3nu!t	hitmajnu!t
הִתְמִיר	hItmi!r	hitmi!r
הַתְמָכָה	hAtmaxa!H	hatmaxa!
הִתָּמְכוּת	hI_ṭam3xu!t	hitamxu!t
הִתָּמְכּוּת	hI_ṭam3ku!t	hitamku!t
הִתְמַכְמֵךְ	hItmAxme!x	hitmaxme!x
הִתְמַכֵּן	hItmA_ke!n	hitmake!n
הִתְמַכְּנוּת	hItmA_k3nu!t	hitmaknu!t
הִתְמַכֵּר	hItmA_ke!r	hitmake!r
הִתְמַכְּרוּת	hItmA_k3ru!t	hitmakru!t
הִתְמַלֵּא	hItmA_le!Q	hitmale!
הִתְמַלְּאוּת	hItmA_l3Qu!t	hitmalʔu!t
הִתְמַלְּחוּת	hItmA_l3ju!t	hitmalxu!t
הִתְמַלֵּט	hItmA_le!T	hitmale!t
הִתְמַלְּטוּת	hItmA_l3Tu!t	hitmaltu!t
הִתְמַלֵּךְ	hItmA_le!x	hitmale!x
הִתְמַלְכֵּד	hItmAlke!d	hitmalke!d
הִתְמַלְכְּדוּת	hItmAlk3du!t	hitmalkedu!t
הִתְמַלְּכוּת	hItmA_l3xu!t	hitmalxu!t
הִתְמַלֵּל	hItmA_le!l	hitmale!l
הִתְמַלְמֵל	hItmAlme!l	hitmalme!l
הִתְמַלְמְלוּת	hItmAlm3lu!t	hitmalmelu!t
הִתַּמֵּם	hI_ṭA_me!m	hitame!m
הִתַּמְּמוּת	hI_ṭA_m3mu!t	hitamemu!t
הִתְמַמֵּן	hItmA_me!n	hitmame!n
הִתְמַמְּנוּת	hItmA_m3nu!t	hitmamnu!t
הִתְמַמֵּשׁ	hItmA_me!c	hitmame!ʃ
הִתְמַמְּשׁוּת	hItmA_m3cu!t	hitmamʃu!t
הִתְמַמְשֵׁק	hItmAmce!q	hitmamʃe!k
הִתְמַמְשְׁקוּת	hItmAmc3qu!t	hitmamʃeku!t
הִתְמַנְגְּלוּת	hItmAnǵ3lu!t	hitmangelu!t
הִתְמַנָּה	hItmA_na!H	hitmana!
הִתְמַנּוּת	hItmA_nu!t	hitmanu!t
הִתְמַנְיְקוּת	hItmAny3qu!t	hitmanjeku!t
הִתְמַנֵּף	hItmA_ne!f	hitmane!f
הִתְמַנְּפוּת	hItmA_n3fu!t	hitmanfu!t
הִתְמַסְגֵּר	hItmAsǵe!r	hitmasge!r
הִתְמַסְגְּרוּת	hItmAsǵ3ru!t	hitmasgeru!t
הִתְמַסֵּד	hItmA_se!d	hitmase!d
הִתְמַסְּדוּת	hItmA_s3du!t	hitmasdu!t
הִתְמַסְחֵר	hItmAsje!r	hitmasxe!r
הִתְמַסְחְרוּת	hItmAsj3ru!t	hitmasxeru!t
הִתְמַסְטֵל	hItmAsTe!l	hitmaste!l
הִתְמַסְטְלוּת	hItmAsT3lu!t	hitmastelu!t
הִתְמַסֵּךְ	hItmA_se!x	hitmase!x
הִתְמַסְּכוּת	hItmA_s3xu!t	hitmasxu!t
הִתְמַסְכֵּן	hItmAske!n	hitmaske!n
הִתְמַסְכְּנוּת	hItmAsk3nu!t	hitmaskenu!t
הִתְמַסְמְכוּת	hItmAsm3xu!t	hitmasmexu!t
הִתְמַסְמֵס	hItmAsme!s	hitmasme!s
הִתְמַסְמְסוּת	hItmAsm3su!t	hitmasmesu!t
הִתְמַסְמְרוּת	hItmAsm3ru!t	hitmasmeru!t
הִתְמַסֵּר	hItmA_se!r	hitmase!r
הִתְמַסְּרוּת	hItmA_s3ru!t	hitmasru!t
הִתְמַסְרֵר	hItmAsre!r	hitmasre!r
הִתְמַעֵט	hItmARe!T	hitmae!t
הִתְמַעְטוּת	hItmARTu!t	hitmatu!t
הִתְמַעֲטוּת	hItmARáTu!t	hitmaatu!t
הִתְמַעֵךְ	hItmARe!x	hitmae!x
הִתְמַעְכוּת	hItmARxu!t	hitmaxu!t
הִתְמַעֲרֵב	hItmARáre!v	hitmaare!v
הִתְמַעְרְבוּת	hItmARr3vu!t	hitmarevu!t
הִתְמַפְתְּחוּת	hItmAfṭ3ju!t	hitmaftexu!t
הִתְמַצֵּא	hItmA_Ze!Q	hitmatse!
הִתְמַצְּאוּת	hItmA_Z3Qu!t	hitmatsʔu!t
הִתְמַצָּה	hItmA_Za!H	hitmatsa!
הִתְמַצְמֵץ	hItmAZme!Z	hitmatsme!ts
הִתְמַצֵּעַ	hItmA_Ze!RÁ	hitmatse!a
הִתְמַצְּעוּת	hItmA_Z3Ru!t	hitmatsʔu!t
הִתְמַצֵּץ	hItmA_Ze!Z	hitmatse!ts
הִתְמַצֵּק	hItmA_Ze!q	hitmatse!k
הִתְמַצְּקוּת	hItmA_Z3qu!t	hitmatsku!t
הִתְמַקֵּד	hItmA_qe!d	hitmake!d
הִתְמַקְּדוּת	hItmA_q3du!t	hitmakdu!t
הִתְמַקֵּחַ	hItmA_qe!jÁ	hitmake!ax
הִתְמַקְּחוּת	hItmA_q3ju!t	hitmakxu!t
הִתְמַקֵּם	hItmA_qe!m	hitmake!m
הִתְמַקְּמוּת	hItmA_q3mu!t	hitmakmu!t
הִתְמַקְמֵק	hItmAqme!q	hitmakme!k
הִתְמַקְצֵעַ	hItmAqZe!RÁ	hitmaktse!a
הִתְמַקְצְעוּת	hItmAqZ3Ru!t	hitmaktseu!t
הִתְמַקֵּק	hItmA_qe!q	hitmake!k
הִתַּמֵּר	hI_ṭA_me!r	hitame!r
הִתְמָרֵד	hItmare!d	hitmare!d
הִתְמַרְדוּת	hItmArdu!t	hitmardu!t
הִתְמַרְדּוּת	hItmArḍu!t	hitmardu!t
הִתְמָרְדוּת	hItmar3du!t	hitmardu!t
הַתְמָרָה	hAtmara!H	hatmara!
הִתַּמְּרוּת	hI_ṭA_m3ru!t	hitamru!t
הִתְמָרֵחַ	hItmare!jÁ	hitmare!ax
הִתְמַרְחוּת	hItmArju!t	hitmarxu!t
הִתְמָרֵט	hItmare!T	hitmare!t
הִתְמַרְטֵט	hItmArTe!T	hitmarte!t
הִתְמָרֵךְ	hItmare!x	hitmare!x
הִתְמַרְכֵּז	hItmArke!z	hitmarke!z
הִתְמַרְכְּזוּת	hItmArk3zu!t	hitmarkezu!t
הִתְמַרְמֵר	hItmArme!r	hitmarme!r
הִתְמַרְמְרוּת	hItmArm3ru!t	hitmarmeru!t
הִתְמָרֵס	hItmare!s	hitmare!s
הִתְמַרְפְּקוּת	hItmArp3qu!t	hitmarpeku!t
הִתְמָרֵק	hItmare!q	hitmare!k
הִתְמַרְקוּת	hItmArqu!t	hitmarku!t
הִתְמָרֵר	hItmare!r	hitmare!r
הִתְמַשֵּׁךְ	hItmA_ce!x	hitmaʃe!x
הִתְמַשְּׁכוּת	hItmA_c3xu!t	hitmaʃxu!t
הִתְמַשְׂכֵּל	hItmASke!l	hitmaske!l
הִתְמַשְׂכְּלוּת	hItmASk3lu!t	hitmaskelu!t
הִתְמַשְׁכֵּן	hItmAcke!n	hitmaʃke!n
הִתְמַשְׁכְּנוּת	hItmAck3nu!t	hitmaʃkenu!t
הִתְמַשֵּׁל	hItmA_ce!l	hitmaʃe!l
הִתְמַשְּׁשׁוּת	hItmA_c3cu!t	hitmaʃeʃu!t
הִתְמַתְּגוּת	hItmA_ṭ3gu!t	hitmatgu!t
הִתְמַתֵּחַ	hItmA_ṭe!jÁ	hitmate!ax
הִתְמַתְּחוּת	hItmA_ṭ3ju!t	hitmatxu!t
הִתְמַתֵּן	hItmA_ṭe!n	hitmate!n
הִתְמַתְּנוּת	hItmA_ṭ3nu!t	hitmatnu!t
הִתְמַתֵּק	hItmA_ṭe!q	hitmate!k
הִתְנָאָה	hItnaQa!H	hitnaa!
הִתְנָאוּת	hItnaQu!t	hitnau!t
הִתְנָאְיוּת	hItnaQ3yu!t	hitnaju!t
הִתְנַבֵּא	hItnA_be!Q	hitnabe!
הִתְנַבְּאוּת	hItnA_b3Qu!t	hitnabʔu!t
הִתְנַבְּזוּת	hItnA_b3zu!t	hitnabzu!t
הִתְנַבֵּחַ	hItnA_be!jÁ	hitnabe!ax
הִתְנַבְּחוּת	hItnA_b3ju!t	hitnabxu!t
הִתְנַבֵּל	hItnA_be!l	hitnabe!l
הִתְנַבְּלוּת	hItnA_b3lu!t	hitnablu!t
הִתְנַגֵּב	hItnA_ǵe!v	hitnage!v
הִתְנַגְּבוּת	hItnA_ǵ3vu!t	hitnagvu!t
הִתְנַגֵּד	hItnA_ǵe!d	hitnage!d
הִתְנַגְּדוּת	hItnA_ǵ3du!t	hitnagdu!t
הִתְנַגֵּחַ	hItnA_ǵe!jÁ	hitnage!ax
הִתְנַגְּחוּת	hItnA_ǵ3ju!t	hitnagxu!t
הִתְנַגֵּן	hItnA_ǵe!n	hitnage!n
הִתְנַגְּנוּת	hItnA_ǵ3nu!t	hitnagnu!t
הִתְנַגֵּעַ	hItnA_ǵe!RÁ	hitnage!a
הִתְנַגֵּף	hItnA_ǵe!f	hitnage!f
הִתְנַגֵּשׁ	hItnA_ǵe!c	hitnage!ʃ
הִתְנַגְּשׁוּת	hItnA_ǵ3cu!t	hitnagʃu!t
הִתְנַדֵּב	hItnA_ḍe!v	hitnade!v
הִתְנַדְּבוּת	hItnA_ḍ3vu!t	hitnadvu!t
הִתְנַדְּבוּתִי	hItnA_ḍ3vuti!	hitnadvuti!
הִתְנַדֵּד	hItnA_ḍe!d	hitnade!d
הִתְנַדָּה	hItnA_ḍa!H	hitnada!
הִתְנַדְנֵד	hItnAdne!d	hitnadne!d
הִתְנַדְנְדוּת	hItnAdn3du!t	hitnadnedu!t
הִתְנַדֵּף	hItnA_ḍe!f	hitnade!f
הִתְנַדְּפוּת	hItnA_ḍ3fu!t	hitnadfu!t
הִתְנַדֵּר	hItnA_ḍe!r	hitnade!r
הִתְנָה	hItna!H	hitna!
הֻתְנָה	hUtna!H	hutna!
הִתְנַהֵג	hItnAhe!g	hitnahe!g
הִתְנַהְגּוּת	hItnAhǵu!t	hitnahgu!t
הִתְנַהֲגוּת	hItnAhágu!t	hitnahagu!t
הִתְנַהֲגוּתִי	hItnAháguti!	hitnahaguti!
הִתְנַהֵל	hItnAhe!l	hitnahe!l
הִתְנַהְלוּת	hItnAhlu!t	hitnahlu!t
הִתְנַהֲלוּת	hItnAhálu!t	hitnahalu!t
הִתְנַהֵם	hItnAhe!m	hitnahe!m
הִתְנַהְמוּת	hItnAhmu!t	hitnahmu!t
הִתְנַהֲמוּת	hItnAhámu!t	hitnahamu!t
הִתְנַהֵר	hItnAhe!r	hitnahe!r
הִתְנוֹדֵד	hItnWde!d	hitnode!d
הִתְנוֹדְדוּת	hItnWd3du!t	hitnodedu!t
הִתְנַוָּה	hItnA_wa!H	hitnava!
הִתְנַוְּטוּת	hItnA_w3Tu!t	hitnavtu!t
הִתְנַוֵּל	hItnA_we!l	hitnave!l
הִתְנַוְּלוּת	hItnA_w3lu!t	hitnavlu!t
הִתְנַוֵּן	hItnA_we!n	hitnave!n
הִתְנַוְנָה	hItnAwna!H	hitnavna!
הִתְנַוְּנוּת	hItnA_w3nu!t	hitnavnu!t
הִתְנוֹסֵס	hItnWse!s	hitnose!s
הִתְנוֹסְסוּת	hItnWs3su!t	hitnosesu!t
הִתְנוֹעֵעַ	hItnWRe!RÁ	hitnoe!a
הִתְנוֹעְעוּת	hItnWR3Ru!t	hitnoeʔu!t
הִתְנוֹפֵף	hItnWfe!f	hitnofe!f
הִתְנוֹפְפוּת	hItnWf3fu!t	hitnofefu!t
הִתְנוֹצֵץ	hItnWZe!Z	hitnotse!ts
הִתְנוֹצְצוּת	hItnWZ3Zu!t	hitnotsetsu!t
הִתְנַזֵּל	hItnA_ze!l	hitnaze!l
הִתְנַזְּלוּת	hItnA_z3lu!t	hitnazlu!t
הִתְנַזֵּק	hItnA_ze!q	hitnaze!k
הִתְנַזֵּר	hItnA_ze!r	hitnaze!r
הִתְנַזְּרוּת	hItnA_z3ru!t	hitnazru!t
הִתְנַחֵל	hItnAje!l	hitnaxe!l
הִתְנַחְלוּת	hItnAjlu!t	hitnaxlu!t
הִתְנַחֲלוּת	hItnAjálu!t	hitnaxalu!t
הִתְנַחֵם	hItnAje!m	hitnaxe!m
הִתְנַחְמֵד	hItnAjme!d	hitnaxme!d
הִתְנַחְמְדוּת	hItnAjm3du!t	hitnaxmedu!t
הִתְנַחְמוּת	hItnAjmu!t	hitnaxmu!t
הִתְנַחֵשׁ	hItnAje!c	hitnaxe!ʃ
הִתְנַחְשֵׁל	hItnAjce!l	hitnaxʃe!l
הִתְנַחְשְׁלוּת	hItnAjc3lu!t	hitnaxʃelu!t
הִתְנַטְרֵל	hItnATre!l	hitnatre!l
הִתְנַטְרְלוּת	hItnATr3lu!t	hitnatrelu!t
הִתְנַיֵּד	hItnA_ye!d	hitnaje!d
הִתְנַיְּדוּת	hItnA_y3du!t	hitnajdu!t
הַתְנָיָה	hAtnaya!H	hatnaja!
הִתְנִיעַ	hItni!RÁ	hitni!a
הִתְנַיֵּעַ	hItnA_ye!RÁ	hitnaje!a
הִתְנִיף	hItni!f	hitni!f
הִתְנַכָּה	hItnA_ka!H	hitnaka!
הִתְנַכֵּל	hItnA_ke!l	hitnake!l
הִתְנַכְּלוּת	hItnA_k3lu!t	hitnaklu!t
הִתְנַכֵּר	hItnA_ke!r	hitnake!r
הִתְנַכְּרוּת	hItnA_k3ru!t	hitnakru!t
הִתְנַמֵּךְ	hItnA_me!x	hitname!x
הִתְנַמְּכוּת	hItnA_m3xu!t	hitnamxu!t
הִתְנַמְנֵם	hItnAmne!m	hitnamne!m
הִתְנַמְנְמוּת	hItnAmn3mu!t	hitnamnemu!t
הִתְנַמְּקוּת	hItnA_m3qu!t	hitnamku!t
הִתְנַמְּרוּת	hItnA_m3ru!t	hitnamru!t
הִתְנַסָּה	hItnA_sa!H	hitnasa!
הִתְנַסּוּת	hItnA_su!t	hitnasu!t
הִתְנַסֵּחַ	hItnA_se!jÁ	hitnase!ax
הִתְנַסְּחוּת	hItnA_s3ju!t	hitnasxu!t
הִתְנַסְטְלְגוּת	hItnAsTl3gu!t	hitnastlegu!t
הִתְנַסֵּךְ	hItnA_se!x	hitnase!x
הִתְנַסֵּר	hItnA_se!r	hitnase!r
הֻתְנַע	hUtnA!R	hutna!
הַתְנָעָה	hAtnaRa!H	hatnaa!
הִתְנַעְנֵעַ	hItnARne!RÁ	hitnane!a
הִתְנַעְנַע	hItnARnA!R	hitnana!
הִתְנַעֲנֵעַ	hItnARáne!RÁ	hitnaane!a
הִתְנַעֲנַע	hItnARánA!R	hitnaana!
הִתְנַעְנְעוּת	hItnARn3Ru!t	hitnaneu!t
הִתְנַעֵץ	hItnARe!Z	hitnae!ts
הִתְנַעֵר	hItnARe!r	hitnae!r
הִתְנַעְרוּת	hItnARru!t	hitnaru!t
הִתְנַעֲרוּת	hItnARáru!t	hitnaaru!t
הִתְנַפָּה	hItnA_pa!H	hitnapa!
הִתְנַפֵּחַ	hItnA_pe!jÁ	hitnape!ax
הִתְנַפְּחוּת	hItnA_p3ju!t	hitnapxu!t
הִתְנַפֵּל	hItnA_pe!l	hitnape!l
הִתְנַפְּלוּת	hItnA_p3lu!t	hitnaplu!t
הִתְנַפְנֵף	hItnAfne!f	hitnafne!f
הִתְנַפְנְפוּת	hItnAfn3fu!t	hitnafnefu!t
הִתְנַפֵּץ	hItnA_pe!Z	hitnape!ts
הִתְנַפְּצוּת	hItnA_p3Zu!t	hitnaptsu!t
הִתְנַפְּשׁוּת	hItnA_p3cu!t	hitnapʃu!t
הִתְנַצָּה	hItnA_Za!H	hitnatsa!
הִתְנַצֵּחַ	hItnA_Ze!jÁ	hitnatse!ax
הִתְנַצְּחוּת	hItnA_Z3ju!t	hitnatsxu!t
הִתְנַצֵּל	hItnA_Ze!l	hitnatse!l
הִתְנַצְּלוּת	hItnA_Z3lu!t	hitnatslu!t
הִתְנַצְנֵץ	hItnAZne!Z	hitnatsne!ts
הִתְנַצְנְצוּת	hItnAZn3Zu!t	hitnatsnetsu!t
הִתְנַצֵּר	hItnA_Ze!r	hitnatse!r
הִתְנַצְּרוּת	hItnA_Z3ru!t	hitnatsru!t
הִתְנַקֵּב	hItnA_qe!v	hitnake!v
הִתְנַקְּבוּת	hItnA_q3vu!t	hitnakvu!t
הִתְנַקֵּד	hItnA_qe!d	hitnake!d
הִתְנַקְּדוּת	hItnA_q3du!t	hitnakdu!t
הִתְנַקָּה	hItnA_qa!H	hitnaka!
הִתַּנְּקוּת	hI_ṭA_n3qu!t	hitanku!t
הִתְנַקֵּז	hItnA_qe!z	hitnake!z
הִתְנַקְּזוּת	hItnA_q3zu!t	hitnakzu!t
הִתְנַקֵּם	hItnA_qe!m	hitnake!m
הִתְנַקְּמוּת	hItnA_q3mu!t	hitnakmu!t
הִתְנַקְנְקוּת	hItnAqn3qu!t	hitnakneku!t
הִתְנַקֵּשׁ	hItnA_qe!c	hitnake!ʃ
הִתְנַקְּשׁוּת	hItnA_q3cu!t	hitnakʃu!t
הִתְנַרְמֵל	hItnArme!l	hitnarme!l
הִתְנַרְמְלוּת	hItnArm3lu!t	hitnarmelu!t
הִתְנַשֵּׂא	hItnA_Se!Q	hitnase!
הִתְנַשְּׂאוּת	hItnA_S3Qu!t	hitnasʔu!t
הִתְנַשְּׁאוּת	hItnA_c3Qu!t	hitnaʃʔu!t
הִתְנַשֵּׁב	hItnA_ce!v	hitnaʃe!v
הִתְנַשְּׁבוּת	hItnA_c3vu!t	hitnaʃvu!t
הִתְנַשָּׁה	hItnA_ca!H	hitnaʃa!
הִתְנַשֵּׁל	hItnA_ce!l	hitnaʃe!l
הִתְנַשְּׁלוּת	hItnA_c3lu!t	hitnaʃlu!t
הִתְנַשֵּׁם	hItnA_ce!m	hitnaʃe!m
הִתְנַשְּׁמוּת	hItnA_c3mu!t	hitnaʃmu!t
הִתְנַשְׁנְשׁוּת	hItnAcn3cu!t	hitnaʃneʃu!t
הִתְנַשֵּׁף	hItnA_ce!f	hitnaʃe!f
הִתְנַשְּׁפוּת	hItnA_c3fu!t	hitnaʃfu!t
הִתְנַשֵּׁק	hItnA_ce!q	hitnaʃe!k
הִתְנַשְּׁקוּת	hItnA_c3qu!t	hitnaʃku!t
הִתְנַתֵּז	hItnA_ṭe!z	hitnate!z
הִתְנַתְּזוּת	hItnA_ṭ3zu!t	hitnatzu!t
הִתְנַתֵּחַ	hItnA_ṭe!jÁ	hitnate!ax
הִתְנַתְּחוּת	hItnA_ṭ3ju!t	hitnatxu!t
הִתְנַתֵּק	hItnA_ṭe!q	hitnate!k
הִתְנַתְּקוּת	hItnA_ṭ3qu!t	hitnatku!t
הִתְסִיס	hItsi!s	hitsi!s
הֻתְסַס	hUtsA!s	hutsa!s
הַתְסָסָה	hAtsasa!H	hatsasa!
הִתָּסְסוּת	hI_ṭas3su!t	hitasesu!t
הִתְעַבֵּב	hItRA_be!v	hitʔabe!v
הִתְעַבֵּד	hItRA_be!d	hitʔabe!d
הִתְעַבָּה	hItRA_ba!H	hitʔaba!
הַתְעָבָה	hAtRava!H	hatʔava!
הִתְעַבּוּת	hItRA_bu!t	hitʔabu!t
הִתְעַבֵּר	hItRA_be!r	hitʔabe!r
הִתְעַבְּרוּת	hItRA_b3ru!t	hitʔabru!t
הִתְעַבְרֵת	hItRAvre!t	hitʔavre!t
הִתְעַבֵּשׁ	hItRA_be!c	hitʔabe!ʃ
הִתְעַבֵּת	hItRA_be!t	hitʔabe!t
הִתְעַגֵּל	hItRA_ǵe!l	hitʔage!l
הִתְעַגְּלוּת	hItRA_ǵ3lu!t	hitʔaglu!t
הִתְעַגֵּם	hItRA_ǵe!m	hitʔage!m
הִתְעַגֵּן	hItRA_ǵe!n	hitʔage!n
הִתְעַגְּנוּת	hItRA_ǵ3nu!t	hitʔagnu!t
הַתְעָדָה	hAtRada!H	hatʔada!
