repr	class	index	dotted	pos	root	affix	affix_allomorph	gender	number	comment	singular_suffix	plural_suffix	phonemic	paradigm	checked	is_foreign	latin
hItpA_l3Qu!t	noun	0	הִתְפַּלְּאוּת	noun	plQ	m_hItqA_73lu!t	-	n			u!t	Wt	hitpal'u!t	b_sus	true	false	hitpal'u!t
hItpA_l3Zu!t	noun	0	הִתְפַּלְּצוּת	noun	plZ	m_hItqA_73lu!t	-	n			u!t	Wt	hitpaltsu!t	b_sus	true	false	hitpalZu!t
hItpAlbe!l	verb	0	הִתְפַּלְבֵּל	verb	plbl	b_hitpael							hitpalbe!l		false	false	hitpalbe!l
hItpA_le!7	verb	0	הִתְפַּלֵּט	verb	plT	b_hitpael							hitpale!t		false	false	hitpale!T
hItpA_le!c	verb	0	הִתְפַּלֵּשׁ	verb	plc	b_hitpael							hitpale!c		false	false	hitpale!S
hItpA_le!g	verb	0	הִתְפַּלֵּג	verb	plg	b_hitpael							hitpale!g		false	false	hitpale!g
hItpA_le!jÁ	verb	0	הִתְפַּלֵּחַ	verb	plj	b_hitpael							hitpale!ax		false	false	hitpale!ac
hItpA_le!l	verb	0	הִתְפַּלֵּל	verb	pll	b_hitpael							hitpale!l		false	false	hitpale!l
hItpA_le!Q	verb	0	הִתְפַּלֵּא	verb	plQ	b_hitpael							hitpale!		false	false	hitpale!
hItpA_le!Z	verb	0	הִתְפַּלֵּץ	verb	plZ	b_hitpael							hitpale!ts		false	false	hitpale!Z
hItpAlm3su!t	noun	0	הִתְפַּלְמְסוּת	noun	plms	m_hItqA_73lu!t	-	n			u!t	Wt	hitpalmesu!t	b_sus	true	false	hitpalmesu!t
hItpAlme!r	verb	0	הִתְפַּלְמֵר	verb	plmr	b_hitpael							hitpalme!r		false	false	hitpalme!r
hItpAlme!s	verb	0	הִתְפַּלְמֵס	verb	plms	b_hitpael							hitpalme!s		false	false	hitpalme!s
hItpAlp3lu!t	noun	0	הִתְפַּלְפְּלוּת	noun	plpl	m_hItqA_73lu!t	-	n			u!t	Wt	hitpalpelu!t	b_sus	true	false	hitpalpelu!t
hItpAlpe!l	verb	0	הִתְפַּלְפֵּל	verb	plpl	b_hitpael							hitpalpe!l		false	false	hitpalpe!l
hItpAlpelu!t	noun	0	הִתְפַּלְפֵּלוּת	noun				n			u!t	Wt	hitpalpelu!t	b_sus	false	false	hitpalpelu!t
hItpAls3fu!t	noun	0	הִתְפַּלְסְפוּת	noun	plsf	m_hItqA_73lu!t	-	n			u!t	Wt	hitpalsefu!t	b_sus	true	false	hitpalsefu!t
hItpAlse!f	verb	0	הִתְפַּלְסֵף	verb	plsp	b_hitpael							hitpalse!f		false	false	hitpalse!f
hItpAmp3mu!t	noun	0	הִתְפַּמְפְּמוּת	noun	pmpm	m_hItqA_73lu!t	-	n			u!t	Wt	hitpampemu!t	b_sus	true	false	hitpampemu!t
hItpA_n3qu!t	noun	0	הִתְפַּנְּקוּת	noun	pnq	m_hItqA_73lu!t	-	n			u!t	Wt	hitpanku!t	b_sus	true	false	hitpanqu!t
hItpA_na!H	verb	0	הִתְפַּנָּה	verb	pny	b_hitpael							hitpana!		false	false	hitpana!
hItpAnDr3qu!t	noun	0	הִתְפַּנְדְּרְקוּת	noun	pndrq	m_hItqA_73lu!t	-	n			u!t	Wt	hitpandreku!t	b_sus	true	false	hitpandrequ!t
hItpA_ne!q	verb	0	הִתְפַּנֵּק	verb	pnq	b_hitpael							hitpane!k		false	false	hitpane!q
hItpA_nu!t	noun	0	הִתְפַּנּוּת	noun				n			u!t	Wt	hitpanu!t	b_sus	false	false	hitpanu!t
hItpA_q3du!t	noun	0	הִתְפַּקְּדוּת	noun	pqd	m_hItqA_73lu!t	-	n			u!t	Wt	hitpakdu!t	b_sus	true	false	hitpaqdu!t
hItpA_q3ju!t	noun	0	הִתְפַּקְּחוּת	noun	pqj	m_hItqA_73lu!t	-	n			u!t	Wt	hitpakxu!t	b_sus	true	false	hitpaqcu!t
hItpA_q3qu!t	noun	0	הִתְפַּקְּקוּת	noun	pqq	m_hItqA_73lu!t	-	n			u!t	Wt	hitpakeku!t	b_sus	true	false	hitpaqequ!t
hItpaQ3ru!t	noun	0	הִתְפָּאְרוּת	noun	pQr	m_hItqA_73lu!t	-	n			u!t	Wt	hitparu!t	b_sus	true	false	hitparu!t
hItpA_q3ru!t	noun	0	הִתְפַּקְּרוּת	noun	pqr	m_hItqA_73lu!t	-	n			u!t	Wt	hitpakru!t	b_sus	true	false	hitpaqru!t
hItpA_q3Ru!t	noun	0	הִתְפַּקְּעוּת	noun	pqR	m_hItqA_73lu!t	-	n			u!t	Wt	hitpak'u!t	b_sus	true	false	hitpaqû!t
hItpaQáru!t	noun	0	הִתְפָּאֲרוּת	noun	fQr	m_hItqA_73lu!t		n			u!t	Wt	hitpaaru!t	b_sus	false	false	hitpaaru!t
hItpAQáru!t	noun	0	הִתְפַּאֲרוּת	noun	pQr	m_hItqA_73lu!t	-	n			u!t	Wt	hitpaaru!t	b_sus	true	false	hitpaaru!t
hItpA_qe!d	verb	0	הִתְפַּקֵּד	verb	pqd	b_hitpael							hitpake!d		false	false	hitpaqe!d
hItpA_qe!jÁ	verb	0	הִתְפַּקֵּחַ	verb	pqj	b_hitpael							hitpake!ax		false	false	hitpaqe!ac
hItpA_qe!q	verb	0	הִתְפַּקֵּק	verb	pqq	b_hitpael							hitpake!k		false	false	hitpaqe!q
hItpaQe!r	verb	0	הִתְפָּאֵר	verb	pQr	b_hitpael							hitpae!r		false	false	hitpae!r
hItpA_qe!r	verb	0	הִתְפַּקֵּר	verb	pqr	b_hitpael							hitpake!r		false	false	hitpaqe!r
hItpA_qe!RÁ	verb	0	הִתְפַּקֵּעַ	verb	pqR	b_hitpael							hitpake!a		false	false	hitpaqe!â
hItpAqpe!q	verb	0	הִתְפַּקְפֵּק	verb	pqpq	b_hitpael							hitpakpe!k		false	false	hitpaqpe!q
hItpar37u!t	noun	0	הִתְפָּרְטוּת	noun	frT	m_hItqA_73lu!t		n			u!t	Wt	hitpartu!t	b_sus	false	false	hitparTu!t
hItpar3du!t	noun	0	הִתְפָּרְדוּת	noun	frd	m_hItqA_73lu!t		n			u!t	Wt	hitpardu!t	b_sus	false	false	hitpardu!t
hItpar3qu!t	noun	0	הִתְפָּרְקוּת	noun	frq	m_hItqA_73lu!t		n			u!t	Wt	hitparku!t	b_sus	false	false	hitparqu!t
hItpar3Ru!t	noun	0	הִתְפָּרְעוּת	noun	frR	m_hItqA_73lu!t		n			u!t	Wt	hitpar'u!t	b_sus	false	false	hitparû!t
hItpAr3ru!t	noun	0	הִתְפַּרְרוּת	noun	prr	m_hItqA_73lu!t	-	n			u!t	Wt	hitpareru!t	b_sus	true	false	hitpareru!t
hItpar3su!t	noun	0	הִתְפָּרְסוּת	noun	frs	m_hItqA_73lu!t		n			u!t	Wt	hitparsu!t	b_sus	false	false	hitparsu!t
hItpar3Zu!t	noun	0	הִתְפָּרְצוּת	noun	frZ	m_hItqA_73lu!t		n			u!t	Wt	hitpartsu!t	b_sus	false	false	hitparZu!t
hItpAr7u!t	noun	0	הִתְפַּרְטוּת	noun	prT	m_hItqA_73lu!t	-	n			u!t	Wt	hitpartu!t	b_sus	true	false	hitparTu!t
hItpARálu!t	noun	0	הִתְפַּעֲלוּת	noun	fRl	m_hItqA_73lu!t		n			u!t	Wt	hitpaalu!t	b_sus	false	false	hitpaâlu!t
hItpARámu!t	noun	0	הִתְפַּעֲמוּת	noun	fRm	m_hItqA_73lu!t		n			u!t	Wt	hitpaamu!t	b_sus	false	false	hitpaâmu!t
hItpARánA!j	verb	0	הִתְפַּעֲנַח	verb	pRnj	b_hitpael							hitpaana!x		false	false	hitpaâna!c
hItpARáne!jÁ	verb	0	הִתְפַּעֲנֵחַ	verb	pRnj	b_hitpael							hitpaane!ax		false	false	hitpaâne!ac
hItpArcu!t	noun	0	הִתְפַּרְשׁוּת	noun	prc	m_hItqA_73lu!t	-	n			u!t	Wt	hitparcu!t	b_sus	true	false	hitparSu!t
hItpArDu!t	noun	0	הִתְפַּרְדוּת	noun	prd	m_hItqA_73lu!t	-	n			u!t	Wt	hitpardu!t	b_sus	true	false	hitpardu!t
hItpare!7	verb	0	הִתְפָּרֵט	verb	prT	b_hitpael							hitpare!t		false	false	hitpare!T
hItpare!c	verb	0	הִתְפָּרֵשׁ	verb	prc	b_hitpael							hitpare!c		false	false	hitpare!S
hItpare!d	verb	0	הִתְפָּרֵד	verb	prd	b_hitpael							hitpare!d		false	false	hitpare!d
hItpARe!l	verb	0	הִתְפַּעֵל	verb	pRl	b_hitpael							hitpae!l		false	false	hitpaê!l
hItpARe!m	verb	0	הִתְפַּעֵם	verb	pRm	b_hitpael							hitpae!m		false	false	hitpaê!m
hItpare!q	verb	0	הִתְפָּרֵק	verb	prq	b_hitpael							hitpare!k		false	false	hitpare!q
hItpare!q mI_nIcqW!	verb	0	הִתְפָּרֵק מִנִּשְׁקוֹ	verb									hitpare!k minicko!		false	false	hitpare!q miniSqo!
hItpare!RÁ	verb	0	הִתְפָּרֵעַ	verb	prR	b_hitpael							hitpare!a		false	false	hitpare!â
hItpare!s	verb	0	הִתְפָּרֵס	verb	prs	b_hitpael							hitpare!s		false	false	hitpare!s
hItpare!S	verb	0	הִתְפָּרֵשׂ	verb	prS	b_hitpael							hitpare!s		false	false	hitpare!s
hItpare!x	verb	0	הִתְפָּרֵךְ	verb	prk	b_hitpael							hitpare!x		false	false	hitpare!x
hItpare!Z	verb	0	הִתְפָּרֵץ	verb	prZ	b_hitpael							hitpare!ts		false	false	hitpare!Z
hItpArje!jÁ	verb	0	הִתְפַּרְחֵחַ	verb	prjj	b_hitpael							hitparxe!ax		false	false	hitparce!ac
hItpArk3su!t	noun	0	הִתְפַּרְכְּסוּת	noun	frxs	m_hItqA_73lu!t		n			u!t	Wt	hitparkesu!t	b_sus	false	false	hitparkesu!t
hItpArke!s	verb	0	הִתְפַּרְכֵּס	verb	prks	b_hitpael							hitparke!s		false	false	hitparke!s
hItpARlu!t	noun	0	הִתְפַּעְלוּת	noun	pRl	m_hItqA_73lu!t	-	n			u!t	Wt	hitpalu!t	b_sus	true	false	hitpâlu!t
hItpARmu!t	noun	0	הִתְפַּעְמוּת	noun	pRm	m_hItqA_73lu!t	-	n			u!t	Wt	hitpamu!t	b_sus	true	false	hitpâmu!t
hItpARn3ju!t	noun	0	הִתְפַּעְנְחוּת	noun	pRnj	m_hItqA_73lu!t	-	n			u!t	Wt	hitpanexu!t	b_sus	true	false	hitpâncu!t
hItpArn3su!t	noun	0	הִתְפַּרְנְסוּת	noun	prns	m_hItqA_73lu!t	-	n			u!t	Wt	hitparnesu!t	b_sus	true	false	hitparnesu!t
hItpARnA!j	verb	0	הִתְפַּעְנַח	verb	pRnj	b_hitpael							hitpana!x		false	false	hitpâna!c
hItpARne!jÁ	verb	0	הִתְפַּעְנֵחַ	verb	pRnj	b_hitpael							hitpane!ax		false	false	hitpâne!ac
hItpArne!q	verb	0	הִתְפַּרְנֵק	verb	prnq	b_hitpael							hitparne!k		false	false	hitparne!q
hItpArne!s	verb	0	הִתְפַּרְנֵס	verb	prns	b_hitpael							hitparne!s		false	false	hitparne!s
hItpArp3ru!t	noun	0	הִתְפַּרְפְּרוּת	noun	prpr	m_hItqA_73lu!t	-	n			u!t	Wt	hitparperu!t	b_sus	true	false	hitparperu!t
hItpARp3Ru!t	noun	0	הִתְפַּעְפְּעוּת	noun	pRpR	m_hItqA_73lu!t	-	n			u!t	Wt	hitpapeu!t	b_sus	true	false	hitpâpeû!t
hItpArpe!r	verb	0	הִתְפַּרְפֵּר	verb	prpr	b_hitpael							hitparpe!r		false	false	hitparpe!r
hItpARpe!RÁ	verb	0	הִתְפַּעְפֵּעַ	verb	pRpR	b_hitpael							hitpape!a		false	false	hitpâpe!â
hItpArq3d3nu!t	noun	0	הִתְפַּרְקְדְנוּת	noun	prqdn	m_hItqA_73lu!t	-	n			u!t	Wt	hitparkdenu!t	b_sus	true	false	hitparqdenu!t
hItpArq3du!t	noun	0	הִתְפַּרְקְדוּת	noun	prqd	m_hItqA_73lu!t	-	n			u!t	Wt	hitparkedu!t	b_sus	true	false	hitparqedu!t
hItpArqe!d	verb	0	הִתְפַּרְקֵד	verb	prqd	b_hitpael							hitparke!d		false	false	hitparqe!d
hItpArqu!t	noun	0	הִתְפַּרְקוּת	noun	prq	m_hItqA_73lu!t	-	n			u!t	Wt	hitparku!t	b_sus	true	false	hitparqu!t
hItpArRu!t	noun	0	הִתְפַּרְעוּת	noun	prR	m_hItqA_73lu!t	-	n			u!t	Wt	hitpar'u!t	b_sus	true	false	hitparû!t
hItpArs3mu!t	noun	0	הִתְפַּרְסְמוּת	noun	prsm	m_hItqA_73lu!t	-	n			u!t	Wt	hitparsemu!t	b_sus	true	false	hitparsemu!t
hItpArse!m	verb	0	הִתְפַּרְסֵם	verb	prsm	b_hitpael							hitparse!m		false	false	hitparse!m
hItpArsu!t	noun	0	הִתְפַּרְסוּת	noun	prs	m_hItqA_73lu!t	-	n			u!t	Wt	hitparsu!t	b_sus	true	false	hitparsu!t
hItpArSu!t	noun	0	הִתְפַּרְשׂוּת	noun	prS	m_hItqA_73lu!t	-	n			u!t	Wt	hitparsu!t	b_sus	true	false	hitparsu!t
hItpArZe!f	verb	0	הִתְפַּרְצֵף	verb	prZp	b_hitpael							hitpartse!f		false	false	hitparZe!f
hItpArZu!t	noun	0	הִתְפַּרְצוּת	noun	prZ	m_hItqA_73lu!t	-	n			u!t	Wt	hitpartsu!t	b_sus	true	false	hitparZu!t
hItpA_se!q	verb	0	הִתְפַּסֵּק	verb	psq	b_hitpael							hitpase!k		false	false	hitpase!q
hItpA_Se!q	verb	0	הִתְפַּשֵּׂק	verb	pSq	b_hitpael							hitpase!k		false	false	hitpase!q
hItpAsxl3gu!t	noun	0	הִתְפַּסְכְלְגוּת	noun	psxlg	m_hItqA_73lu!t	-	n			u!t	Wt	hitpasxlegu!t	b_sus	true	false	hitpasxlegu!t
hItpA_T3ju!t	noun	0	הִתְפַּתְּחוּת	noun	ptj	m_hItqA_73lu!t	-	n			u!t	Wt	hitpatxu!t	b_sus	true	false	hitpatcu!t
hItpA_T3juti!	noun	0	הִתְפַּתְּחוּתִי	adjective		s_i_adj		z			-	im	hitpatxuti!	b_i	false	false	hitpatcuti!
hItpA_T3lu!t	noun	0	הִתְפַּתְּלוּת	noun	ptl	m_hItqA_73lu!t	-	n			u!t	Wt	hitpatlu!t	b_sus	true	false	hitpatlu!t
hItpA_Ta!H	verb	0	הִתְפַּתָּה	verb	pty	b_hitpael							hitpata!		false	false	hitpata!
hItpA_Te!jÁ	verb	0	הִתְפַּתֵּחַ	verb	ptj	b_hitpael							hitpate!ax		false	false	hitpate!ac
hItpA_Te!l	verb	0	הִתְפַּתֵּל	verb	ptl	b_hitpael							hitpate!l		false	false	hitpate!l
hItpAxpe!x	verb	0	הִתְפַּכְפֵּךְ	verb	pkpk	b_hitpael							hitpaxpe!x		false	false	hitpaxpe!x
hItpA_y37u!t	noun	0	הִתְפַּיְּטוּת	noun	pyT	m_hItqA_73lu!t	-	n			u!t	Wt	hitpaytu!t	b_sus	true	false	hitpayTu!t
hItpA_y3ju!t	noun	0	הִתְפַּיְּחוּת	noun	pyj	m_hItqA_73lu!t	-	n			u!t	Wt	hitpayxu!t	b_sus	true	false	hitpaycu!t
hItpA_y3su!t	noun	0	הִתְפַּיְּסוּת	noun	pys	m_hItqA_73lu!t	-	n			u!t	Wt	hitpaysu!t	b_sus	true	false	hitpaysu!t
hItpA_ye!7	verb	0	הִתְפַּיֵּט	verb	pyT	b_hitpael							hitpaye!t		false	false	hitpaye!T
hItpA_ye!jÁ	verb	0	הִתְפַּיֵּחַ	verb	pyj	b_hitpael							hitpaye!ax		false	false	hitpaye!ac
hItpA_ye!s	verb	0	הִתְפַּיֵּס	verb	pys	b_hitpael							hitpaye!s		false	false	hitpaye!s
hItpA_Z3ju!t	noun	0	הִתְפַּצְּחוּת	noun	pZj	m_hItqA_73lu!t	-	n			u!t	Wt	hitpatsxu!t	b_sus	true	false	hitpaZcu!t
hItpA_Z3lu!t	noun	0	הִתְפַּצְּלוּת	noun	pZl	m_hItqA_73lu!t	-	n			u!t	Wt	hitpatslu!t	b_sus	true	false	hitpaZlu!t
hItpA_z3mu!t	noun	0	הִתְפַּזְּמוּת	noun	pzm	m_hItqA_73lu!t	-	n			u!t	Wt	hitpazmu!t	b_sus	true	false	hitpazmu!t
hItpA_z3ru!t	noun	0	הִתְפַּזְּרוּת	noun	pzr	m_hItqA_73lu!t	-	n			u!t	Wt	hitpazru!t	b_sus	true	false	hitpazru!t
hItpA_Ze!jÁ	verb	0	הִתְפַּצֵּחַ	verb	pZj	b_hitpael							hitpatse!ax		false	false	hitpaZe!ac
hItpA_Ze!l	verb	0	הִתְפַּצֵּל	verb	pZl	b_hitpael							hitpatse!l		false	false	hitpaZe!l
hItpA_ze!m	verb	0	הִתְפַּזֵּם	verb	pzm	b_hitpael							hitpaze!m		false	false	hitpaze!m
hItpA_ze!r	verb	0	הִתְפַּזֵּר	verb	pzr	b_hitpael							hitpaze!r		false	false	hitpaze!r
hItpA_Ze!RÁ	verb	0	הִתְפַּצֵּעַ	verb	pZR	b_hitpael							hitpatse!a		false	false	hitpaZe!â
hItpAZl3ju!t	noun	0	הִתְפַּצְלְחוּת	noun	pZlj	m_hItqA_73lu!t	-	n			u!t	Wt	hitpatslexu!t	b_sus	true	false	hitpaZlecu!t
hItpAZp3Zu!t	noun	0	הִתְפַּצְפְּצוּת	noun	pZpZ	m_hItqA_73lu!t	-	n			u!t	Wt	hitpatspetsu!t	b_sus	true	false	hitpaZpeZu!t
hItpAZpe!Z	verb	0	הִתְפַּצְפֵּץ	verb	pZpZ	b_hitpael							hitpatspe!ts		false	false	hitpaZpe!Z
hItpi!jÁ	verb	0	הִתְפִּיחַ	verb	tpj	b_hifil							hitpi!ax		false	false	hitpi!ac
hItpi!l	verb	0	הִתְפִּיל	verb	tpl	b_hifil							hitpi!l		false	false	hitpi!l
hItpi!s	verb	0	הִתְפִּיס	verb	tps	b_hifil							hitpi!s		false	false	hitpi!s
hItpWg3gu!t	noun	0	הִתְפּוֹגְגוּת	noun	pgg	m_hItqA_73lu!t	hIt*W*3*u!t	n			u!t	Wt	hitpogegu!t	b_sus	true	false	hitpogegu!t
hItpWge!g	verb	0	הִתְפּוֹגֵג	verb	pwg	b_hitpael							hitpoge!g		false	false	hitpoge!g
hItpWq3qu!t	noun	0	הִתְפּוֹקְקוּת	noun	pqq	m_hItqA_73lu!t	hIt*W*3*u!t	n			u!t	Wt	hitpokeku!t	b_sus	true	false	hitpoqequ!t
hItpWqe!q	verb	0	הִתְפּוֹקֵק	verb	pqq	b_hitpael							hitpoke!k		false	false	hitpoqe!q
hItpWr3ru!t	noun	0	הִתְפּוֹרְרוּת	noun	prr	m_hItqA_73lu!t	hIt*W*3*u!t	n			u!t	Wt	hitporeru!t	b_sus	true	false	hitporeru!t
hItpWre!r	verb	0	הִתְפּוֹרֵר	verb	prr	b_hitpael							hitpore!r		false	false	hitpore!r
hItpWZ3Zu!t	noun	0	הִתְפּוֹצְצוּת	noun	pZZ	m_hItqA_73lu!t	hIt*W*3*u!t	n			u!t	Wt	hitpotsetsu!t	b_sus	true	false	hitpoZeZu!t
hItpWZ3Zu!t QUxlusi!n	noun	0	הִתְפּוֹצְצוּת אֻכְלוּסִין	noun									hitpotsetsu!t uxlusi!n		false	false	hitpoZeZu!t uxlusi!n
hItpWZe!Z	verb	0	הִתְפּוֹצֵץ	verb	pZZ	b_hitpael							hitpotse!ts		false	false	hitpoZe!Z
hItqA_73nu!t	noun	0	הִתְקַטְּנוּת	noun	qTn	m_hItqA_73lu!t	-	n			u!t	Wt	hitkatnu!t	b_sus	true	false	hitqaTnu!t
hItqA_73vu!t	noun	0	הִתְקַטְּבוּת	noun	qTv	m_hItqA_73lu!t	-	n			u!t	Wt	hitkatvu!t	b_sus	true	false	hitqaTvu!t
hItqA_7e!f	verb	0	הִתְקַטֵּף	verb	qTp	b_hitpael							hitkate!f		false	false	hitqaTe!f
hItqA_7e!l	verb	0	הִתְקַטֵּל	verb	qTl	b_hitpael							hitkate!l		false	false	hitqaTe!l
hItQA_7e!m	verb	0	הִתְאַטֵּם	verb	QTm	b_hitpael							hit'ate!m		false	false	hitaTe!m
hItqA_7e!n	verb	0	הִתְקַטֵּן	verb	qTn	b_hitpael							hitkate!n		false	false	hitqaTe!n
hItqA_7e!r	verb	0	הִתְקַטֵּר	verb	qTr	b_hitpael							hitkate!r		false	false	hitqaTe!r
hItqA_7e!RÁ	verb	0	הִתְקַטֵּעַ	verb	qTR	b_hitpael							hitkate!a		false	false	hitqaTe!â
hItqA7l3gu!t	noun	0	הִתְקַטְלְגוּת	noun	qTlg	m_hItqA_73lu!t	-	n			u!t	Wt	hitkatlegu!t	b_sus	true	false	hitqaTlegu!t
hItqA7re!g	verb	0	הִתְקַטְרֵג	verb	qTrg	b_hitpael							hitkatre!g		false	false	hitqaTre!g
hItQA_b3du!t	noun	0	הִתְאַבְּדוּת	noun	Qbd	m_hItqA_73lu!t	-	n			u!t	Wt	hit'abdu!t	b_sus	true	false	hitabdu!t
hItqA_b3lu!t	noun	0	הִתְקַבְּלוּת	noun	qbl	m_hItqA_73lu!t	-	n			u!t	Wt	hitkablu!t	b_sus	true	false	hitqablu!t
hItQA_b3lu!t	noun	0	הִתְאַבְּלוּת	noun	Qbl	m_hItqA_73lu!t	-	n			u!t	Wt	hit'ablu!t	b_sus	true	false	hitablu!t
hItQA_b3nu!t	noun	0	הִתְאַבְּנוּת	noun	Qbn	m_hItqA_73lu!t	-	n			u!t	Wt	hit'abnu!t	b_sus	true	false	hitabnu!t
hItQA_b3qu!t	noun	0	הִתְאַבְּקוּת	noun	Qbq	m_hItqA_73lu!t	-	n			u!t	Wt	hit'abku!t	b_sus	true	false	hitabqu!t
hItqA_b3Ru!t	noun	0	הִתְקַבְּעוּת	noun	qbR	m_hItqA_73lu!t	-	n			u!t	Wt	hitkab'u!t	b_sus	true	false	hitqabû!t
hItQA_b3xu!t	noun	0	הִתְאַבְּכוּת	noun	Qbx	m_hItqA_73lu!t	-	n			u!t	Wt	hit'abxu!t	b_sus	true	false	hitabxu!t
hItqA_b3Zu!t	noun	0	הִתְקַבְּצוּת	noun	qbZ	m_hItqA_73lu!t	-	n			u!t	Wt	hitkabtsu!t	b_sus	true	false	hitqabZu!t
hItQA_be!d	verb	0	הִתְאַבֵּד	verb	Qbd	b_hitpael							hit'abe!d		false	false	hitabe!d
hItqA_be!l	verb	0	הִתְקַבֵּל	verb	qbl	b_hitpael							hitkabe!l		false	false	hitqabe!l
hItQA_be!l	verb	0	הִתְאַבֵּל	verb	Qbl	b_hitpael							hit'abe!l		false	false	hitabe!l
hItQA_be!n	verb	0	הִתְאַבֵּן	verb	Qbn	b_hitpael							hit'abe!n		false	false	hitabe!n
hItQA_be!q	verb	0	הִתְאַבֵּק	verb	Qbq	b_hitpael							hit'abe!k		false	false	hitabe!q
hItqA_be!RÁ	verb	0	הִתְקַבֵּעַ	verb	qbR	b_hitpael							hitkabe!a		false	false	hitqabe!â
hItQA_be!x	verb	0	הִתְאַבֵּךְ	verb	Qbk	b_hitpael							hit'abe!x		false	false	hitabe!x
hItqA_be!Z	verb	0	הִתְקַבֵּץ	verb	qbZ	b_hitpael							hitkabe!ts		false	false	hitqabe!Z
hItqA_c37u!t	noun	0	הִתְקַשְּׁטוּת	noun	qcT	m_hItqA_73lu!t	-	n			u!t	Wt	hitkactu!t	b_sus	true	false	hitqaSTu!t
hItQA_c3du!t	noun	0	הִתְאַשְּׁדוּת	noun	Qcd	m_hItqA_73lu!t	-	n			u!t	Wt	hit'acdu!t	b_sus	true	false	hitaSdu!t
hItqA_c3ju!t	noun	0	הִתְקַשְּׁחוּת	noun	qcj	m_hItqA_73lu!t	-	n			u!t	Wt	hitkacxu!t	b_sus	true	false	hitqaScu!t
hItqA_c3ru!t	noun	0	הִתְקַשְּׁרוּת	noun	qcr	m_hItqA_73lu!t	-	n			u!t	Wt	hitkacru!t	b_sus	true	false	hitqaSru!t
hItQA_c3ru!t	noun	0	הִתְאַשְּׁרוּת	noun	Qcr	m_hItqA_73lu!t	-	n			u!t	Wt	hit'acru!t	b_sus	true	false	hitaSru!t
hItqA_c3tu!t	noun	0	הִתְקַשְּׁתוּת	noun	qct	m_hItqA_73lu!t	-	n			u!t	Wt	hitkactu!t	b_sus	true	false	hitqaStu!t
hItqA_ca!H	verb	0	הִתְקַשָּׁה	verb	qcy	b_hitpael							hitkaca!		false	false	hitqaSa!
hItqA_ce!7	verb	0	הִתְקַשֵּׁט	verb	qcT	b_hitpael							hitkace!t		false	false	hitqaSe!T
hItQA_ce!c	verb	0	הִתְאַשֵּׁשׁ	verb	Qcc	b_hitpael							hit'ace!c		false	false	hitaSe!S
hItQA_ce!d	verb	0	הִתְאַשֵּׁד	verb	Qcd	b_hitpael							hit'ace!d		false	false	hitaSe!d
hItqA_ce!jÁ	verb	0	הִתְקַשֵּׁחַ	verb	qcj	b_hitpael							hitkace!ax		false	false	hitqaSe!ac
hItqA_ce!r	verb	0	הִתְקַשֵּׁר	verb	qcr	b_hitpael							hitkace!r		false	false	hitqaSe!r
hItQA_ce!r	verb	0	הִתְאַשֵּׁר	verb	Qcr	b_hitpael							hit'ace!r		false	false	hitaSe!r
hItQAck3ne!z	verb	0	הִתְאַשְׁכְּנֵז	verb	Qcknz	b_hitpael							hit'ackne!z		false	false	hitaSkne!z
hItQAcp3zu!t	noun	0	הִתְאַשְׁפְּזוּת	noun	Qcpz	m_hItqA_73lu!t	-	n			u!t	Wt	hit'acpezu!t	b_sus	true	false	hitaSpezu!t
hItQAcpe!r	verb	0	הִתְאַשְׁפֵּר	verb	Qcpr	b_hitpael							hit'acpe!r		false	false	hitaSpe!r
hItQAcpe!z	verb	0	הִתְאַשְׁפֵּז	verb	Qcpz	b_hitpael							hit'acpe!z		false	false	hitaSpe!z
hItqAcq3cu!t	noun	0	הִתְקַשְׁקְשׁוּת	noun	qcqc	m_hItqA_73lu!t	-	n			u!t	Wt	hitkackecu!t	b_sus	true	false	hitqaSqeSu!t
hItqAcqe!c	verb	0	הִתְקַשְׁקֵשׁ	verb	qcqc	b_hitpael							hitkacke!c		false	false	hitqaSqe!S
hItQAcr3ru!t	noun	0	הִתְאַשְׁרְרוּת	noun	Qcrr	m_hItqA_73lu!t	-	n			u!t	Wt	hit'acreru!t	b_sus	true	false	hitaSreru!t
hItQAcre!r	verb	0	הִתְאַשְׁרֵר	verb	Qcrr	b_hitpael							hit'acre!r		false	false	hitaSre!r
hItqA_cu!t	noun	0	הִתְקַשּׁוּת	noun	qcy	m_hItqA_73lu!t		n			u!t	Wt	hitkacu!t	b_sus	false	false	hitqaSu!t
hItqA_D3cu!t	noun	0	הִתְקַדְּשׁוּת	noun	qdc	m_hItqA_73lu!t	-	n			u!t	Wt	hitkadcu!t	b_sus	true	false	hitqadSu!t
hItqA_D3mu!t	noun	0	הִתְקַדְּמוּת	noun	qdm	m_hItqA_73lu!t	-	n			u!t	Wt	hitkadmu!t	b_sus	true	false	hitqadmu!t
hItQA_D3mu!t	noun	0	הִתְאַדְּמוּת	noun	Qdm	m_hItqA_73lu!t	-	n			u!t	Wt	hit'admu!t	b_sus	true	false	hitadmu!t
hItQA_D3nu!t	noun	0	הִתְאַדְּנוּת	noun	Qdn	m_hItqA_73lu!t	-	n			u!t	Wt	hit'adnu!t	b_sus	true	false	hitadnu!t
